Designator,Mid X,Mid Y,Rotation,Layer
C1,302.13875,-69.9211,180,bottom
C2,302.12875,-71.5411,180,bottom
C3,81.93875,-58.1111,180,bottom
C4,78.43875,-58.1111,0,bottom
D1,73.18875,-68.8111,90,bottom
D10,110.63875,-70.1111,270,bottom
D11,110.43875,-87.7111,270,bottom
D12,110.72875,-99.9211,90,bottom
D13,161.91875,-70.3911,180,bottom
D14,110.31875,-109.5411,90,bottom
D15,139.93875,-66.6611,90,bottom
D16,138.53875,-84.9111,90,bottom
D17,138.53875,-90.4111,270,bottom
D18,138.13875,-109.5111,270,bottom
D19,147.43875,-66.675,270,bottom
D2,73.81875,-85.725,90,bottom
D20,162.43875,-85.725,270,bottom
D21,158.23875,-90.4111,90,bottom
D22,173.13875,-109.5111,90,bottom
D23,166.43875,-66.675,90,bottom
D24,181.43875,-85.725,90,bottom
D25,177.33875,-90.5111,270,bottom
D26,175.73875,-109.5111,270,bottom
D27,185.43875,-66.675,270,bottom
D28,199.43875,-85.725,270,bottom
D29,196.33875,-90.5111,90,bottom
D3,70.93875,-89.3111,0,bottom
D30,197.61875,-70.4511,180,bottom
D31,175.73875,-104.2111,90,bottom
D32,204.43875,-66.675,90,bottom
D33,218.43875,-85.725,90,bottom
D34,215.43875,-90.5111,270,bottom
D35,216.73875,-109.6111,270,bottom
D36,224.43875,-66.675,270,bottom
D37,237.43875,-85.725,270,bottom
D38,234.43875,-90.5111,90,bottom
D39,238.32875,-70.6511,180,bottom
D4,121.38875,-72.2111,180,bottom
D40,273.45875,-70.5111,180,bottom
D41,232.83875,-104.6111,90,bottom
D42,242.43875,-66.675,90,bottom
D43,257.43875,-85.725,90,bottom
D44,253.53875,-90.5111,270,bottom
D45,251.83875,-104.7111,270,bottom
D46,261.43875,-66.675,270,bottom
D47,276.43875,-85.725,270,bottom
D48,272.53875,-90.4111,90,bottom
D49,270.93875,-104.7111,90,bottom
D5,74.93875,-108.8111,90,bottom
D50,280.43875,-66.6,90,bottom
D51,294.43875,-85.725,90,bottom
D52,291.63875,-90.7111,270,bottom
D53,290.8575,-104.7111,270,bottom
D54,315.83875,-71.7111,270,bottom
D55,297.43875,-85.725,270,bottom
D56,296.43875,-90.7111,90,bottom
D57,293.23875,-104.7111,90,bottom
D58,87.68875,-71.4111,180,bottom
D6,92.78875,-69.1611,90,bottom
D7,92.86875,-89.3111,90,bottom
D8,91.53875,-109.4111,270,bottom
D9,93.93875,-107.2111,270,bottom
R1,295.31875,-57.0111,180,bottom
R2,285.30875,-58.1011,0,bottom
R3,302.13875,-73.1111,180,bottom
R4,88.83875,-57.1111,0,bottom
R5,98.93875,-58.1111,180,bottom
R6,84.93875,-51.6111,90,bottom
U1,286.16875,-70.7211,180,bottom
U2,296.43875,-72.6486,0,bottom
U3,85.388751,-55.9986,90,bottom
U4,78.97625,-53.4861,90,bottom
