Designator,Mid X,Mid Y,Rotation,Layer
C1,295.9,-66.5,180,bottom
C2,295.9,-64.9,180,bottom
D1,73.81875,-66.675,90,bottom
D10,110,-66.675,270,bottom
D11,110,-85.725,270,bottom
D12,110,-102.39375,90,bottom
D13,161.925,-66.675,180,bottom
D14,110,-107.15625,90,bottom
D15,133.35,-66.675,90,bottom
D16,135.73125,-85.725,90,bottom
D17,138.1125,-102.39375,270,bottom
D18,138.1125,-107.15625,270,bottom
D19,152.4,-66.675,270,bottom
D2,73.81875,-85.725,90,bottom
D20,157.1625,-85.725,270,bottom
D21,161.925,-102.39375,90,bottom
D22,150.01875,-107.15625,90,bottom
D23,171.45,-66.675,90,bottom
D24,176.2125,-85.725,90,bottom
D25,180.975,-102.39375,270,bottom
D26,166.6875,-107.15625,270,bottom
D27,190.5,-66.675,270,bottom
D28,195.2625,-85.725,270,bottom
D29,200.025,-102.39375,90,bottom
D3,73.81875,-102.39375,270,bottom
D30,200.025,-66.675,180,bottom
D31,190.5,-107.15625,90,bottom
D32,209.55,-66.675,90,bottom
D33,214.3125,-85.725,90,bottom
D34,219.075,-102.39375,270,bottom
D35,211.93125,-107.15625,270,bottom
D36,228.6,-66.675,270,bottom
D37,233.3625,-85.725,270,bottom
D38,238.125,-102.39375,90,bottom
D39,238.125,-66.675,180,bottom
D4,123.825,-66.8,180,bottom
D40,271.4625,-66.675,180,bottom
D41,238.4,-107.15625,90,bottom
D42,247.65,-66.675,90,bottom
D43,252.4125,-85.725,90,bottom
D44,257.175,-102.39375,270,bottom
D45,261.9375,-107.15625,270,bottom
D46,266.7,-66.675,270,bottom
D47,271.4625,-85.725,270,bottom
D48,276.225,-102.39375,90,bottom
D49,276.225,-107.15625,90,bottom
D5,73.81875,-107.15625,270,bottom
D50,279.4,-66.6,90,bottom
D51,290.5125,-85.725,90,bottom
D52,295.275,-95.25,270,bottom
D53,288.13125,-107.15625,270,bottom
D54,311.94375,-66.675,270,bottom
D55,295.275,-85.725,270,bottom
D56,295.275,-90.4875,270,bottom
D57,290.5125,-107.15625,90,bottom
D58,83.34375,-66.675,180,bottom
D6,92.86875,-66.675,90,bottom
D7,92.86875,-85.725,90,bottom
D8,92.86875,-102.39375,270,bottom
D9,92.86875,-107.15625,270,bottom
R1,292.9,-61.7,270,bottom
R2,287,-61.8,270,bottom
R3,288.4,-65,0,bottom
SW42,302.8,-69.2,180,bottom
U1,290,-62.1,270,bottom
U2,290.6,-69.7,0,bottom
